,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2004-01-30 19:01:02,1075469462.0,a,36.65,0.0,1131.130005,0.0,0.0,0.407,N/A,2.80,6.01,29.56,11.97,24.95,47.81,12.803,N/A,N/A,25.83,3.84,2.73,N/A,2.73,N/A,N/A,N/A,3.774,N/A,0.80,N/A,3.37,N/A,2.04,5.93,144000000.0,2.474,10.01,63.03,9300000.0,3.923,2.17,6930000.0,Underperforms
1,2004-04-13 04:07:11,1081809431.0,a,31.87,-13.042291950886762,1129.439941,-0.14941377140816745,-12.892878179478595,0.375,N/A,2.43,4.98,25.56,6.20,23.59,46.82,13.16,N/A,N/A,20.83,2.89,2.35,N/A,2.35,N/A,N/A,N/A,3.391,N/A,0.80,N/A,3.49,N/A,2.284,6.394,144000000.0,2.496,10.00,66.79,7520000.0,2.328,1.74,9170000.0,Underperforms
2,2004-12-13 21:37:34,1102954054.0,a,23.84,-34.95225102319236,1198.680054,5.971908507545951,-40.92415953073831,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,N/A,N/A,15.79,1.62,1.44,15.3,1.44,N/A,15.3,349000000.0,0.71,N/A,0.80,N/A,4.75,N/A,2.441,7.32,483000000.0,2.547,20.00,66.68,6930000.0,2.638,1.78,6540000.0,Underperforms
3,2005-01-22 05:17:19,1106351239.0,a,21.8,-40.518417462482944,1184.630005,4.729783469938099,-45.24820093242104,0.322,30.70,1.52,3.04,4.86,5.38,5.26,10.92,14.61,N/A,N/A,14.34,1.51,1.36,14.4,1.36,N/A,14.4,349000000.0,0.71,N/A,18.60,N/A,4.71,N/A,2.446,7.329,663000000.0,2.166,10.12,67.08,7040000.0,2.385,1.60,6930000.0,Underperforms
4,2006-01-09 02:35:16,1136754316.0,a,34.65,-5.457025920873124,1290.150024,14.058509481410145,-19.51553540228327,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,N/A,N/A,N/A,1.81,2.89,35.665,2.89,N/A,35.665,141000000.0,0.66,64.90,22.80,N/A,4.555,2.169,2.169,8.095,890000000.0,N/A,0.57,70.40,10980000.0,2.3,2.20,5840000.0,Underperforms
5,2006-06-21 11:01:16,1150867876.0,a,32.18,-12.19645293315143,1252.199951,10.703451014899041,-22.899903948050472,0.368,5.08,2.53,3.37,56.50,9.38,12.15,28.88,11.414,N/A,N/A,N/A,1.26,2.33,7.549,2.33,N/A,7.549,N/A,6.33,21.10,12.00,N/A,6.24,N/A,2.565,9.563,725000000.0,2.75,5.99,74.80,6920000.0,3.4,1.60,4620000.0,Underperforms
6,2006-08-19 10:42:01,1155964321.0,a,31.8,-13.23328785811732,1295.430054,14.525301978882608,-27.758589836999928,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,N/A,N/A,N/A,1.21,2.18,17.215,2.18,N/A,17.215,N/A,6.87,118.30,13.90,N/A,5.499,N/A,2.513,9.563,652000000.0,2.76,6.24,72.70,7350000.0,2.5,1.80,9340000.0,Underperforms
7,2007-02-20 17:46:56,1171973816.0,a,32.48,-11.377899045020468,1459.680054,29.046179267430887,-40.42407831245136,0.411,4.33,2.68,3.67,66.50,11.12,13.70,37.19,11.538,N/A,N/A,N/A,1.13,2.53,7.322,2.53,N/A,7.322,N/A,7.499,496.00,21.00,N/A,5.556,N/A,2.573,8.941,634000000.0,2.75,8.76,67.60,5910000.0,2.8,1.50,5150000.0,Underperforms
8,2007-04-12 05:07:51,1176334671.0,a,34.62,-5.538881309686224,1447.800049,27.995901673565804,-33.53478298325203,0.411,4.62,2.77,3.87,66.50,11.12,13.70,37.19,11.538,N/A,N/A,N/A,1.13,2.51,7.275,2.51,N/A,7.275,N/A,7.50,496.00,21.00,N/A,5.556,N/A,2.573,9.03,634000000.0,2.75,6.26,72.00,5910000.0,2.8,1.50,5150000.0,Underperforms
9,2008-01-23 19:28:50,1201096730.0,a,32.16,-12.251023192360169,1338.599976,18.3418325111091,-30.59285570346927,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,N/A,N/A,N/A,1.04,2.30,15.421,2.30,N/A,15.421,638000000.0,1.57,20.80,8.90,N/A,4.916,N/A,2.207,8.741,969000000.0,1.55,1.49,73.80,3640000.0,1.9,1.00,3510000.0,Underperforms
