,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,1/30/2004 19:01,1075469462,a,36.65,0,1131.130005,0,0,0.407,N/A,2.8,6.01,29.56,11.97,24.95,47.81,12.803,17450000000,16520000000,25.83,3.84,2.73,N/A,2.73,2290000000,N/A,1790000000,3.774,N/A,0.8,1610000000,3.37,1150000000,2.04,5.93,144000000,2.474,10.01,63.03,9300000,3.923,2.17,6930000,0
1,4/13/2004 4:07,1081809431,a,31.87,-13.04229195,1129.439941,-0.149413771,-12.89287818,0.375,N/A,2.43,4.98,25.56,6.2,23.59,46.82,13.16,15320000000,14770000000,20.83,2.89,2.35,N/A,2.35,2290000000,N/A,1610000000,3.391,N/A,0.8,1680000000,3.49,1150000000,2.284,6.394,144000000,2.496,10,66.79,7520000,2.328,1.74,9170000,0
2,12/13/2004 21:37,1102954054,a,23.84,-34.95225102,1198.680054,5.971908508,-40.92415953,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,11610000000,10370000000,15.79,1.62,1.44,15.3,1.44,2290000000,15.3,349000000,0.71,N/A,0.8,2320000000,4.75,1150000000,2.441,7.32,483000000,2.547,20,66.68,6930000,2.638,1.78,6540000,0
3,1/22/2005 5:17,1106351239,a,21.8,-40.51841746,1184.630005,4.72978347,-45.24820093,0.322,30.7,1.52,3.04,4.86,5.38,5.26,10.92,14.61,10710000000,9760000000,14.34,1.51,1.36,14.4,1.36,3120000000,14.4,349000000,0.71,N/A,18.6,2320000000,4.71,1150000000,2.446,7.329,663000000,2.166,10.12,67.08,7040000,2.385,1.6,6930000,0
4,1/9/2006 2:35,1136754316,a,34.65,-5.457025921,1290.150024,14.05850948,-19.5155354,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,17120000000,14870000000,N/A,1.81,2.89,35.665,2.89,3120000000,35.665,141000000,0.66,64.9,22.8,2250000000,4.555,2.169,2.169,8.095,890000000,N/A,0.57,70.4,10980000,2.3,2.2,5840000,0
5,6/21/2006 11:01,1150867876,a,32.18,-12.19645293,1252.199951,10.70345101,-22.89990395,0.368,5.08,2.53,3.37,56.5,9.38,12.15,28.88,11.414,13700000000,12620000000,N/A,1.26,2.33,7.549,2.33,2520000000,7.549,1150000000,6.33,21.1,12,2660000000,6.24,1500000000,2.565,9.563,725000000,2.75,5.99,74.8,6920000,3.4,1.6,4620000,0
6,8/19/2006 10:42,1155964321,a,31.8,-13.23328786,1295.430054,14.52530198,-27.75858984,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,13540000000,12260000000,N/A,1.21,2.18,17.215,2.18,2520000000,17.215,1330000000,6.87,118.3,13.9,2250000000,5.499,1500000000,2.513,9.563,652000000,2.76,6.24,72.7,7350000,2.5,1.8,9340000,0
7,2/20/2007 17:46,1171973816,a,32.48,-11.37789905,1459.680054,29.04617927,-40.42407831,0.411,4.33,2.68,3.67,66.5,11.12,13.7,37.19,11.538,13220000000,12580000000,N/A,1.13,2.53,7.322,2.53,2660000000,7.322,1440000000,7.499,496,21,2260000000,5.556,1500000000,2.573,8.941,634000000,2.75,8.76,67.6,5910000,2.8,1.5,5150000,0
8,4/12/2007 5:07,1176334671,a,34.62,-5.53888131,1447.800049,27.99590167,-33.53478298,0.411,4.62,2.77,3.87,66.5,11.12,13.7,37.19,11.538,13970000000,12500000000,N/A,1.13,2.51,7.275,2.51,2660000000,7.275,1440000000,7.5,496,21,2260000000,5.556,1500000000,2.573,9.03,634000000,2.75,6.26,72,5910000,2.8,1.5,5150000,0
9,1/23/2008 19:28,1201096730,a,32.16,-12.25102319,1338.599976,18.34183251,-30.5928557,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,11950000000,12460000000,N/A,1.04,2.3,15.421,2.3,2970000000,15.421,638000000,1.57,20.8,8.9,1830000000,4.916,2090000000,2.207,8.741,969000000,1.55,1.49,73.8,3640000,1.9,1,3510000,0
10,2/14/2008 4:44,1202944474,a,32.68,-10.83219645,1348.859985,19.24889085,-30.0810873,0.645,20.8,2.18,3.64,11.77,11.38,5.17,18.54,13.756,12140000000,12090000000,N/A,1.02,2.23,14.966,2.23,2970000000,14.966,638000000,1.57,20.8,8.9,1830000000,4.916,2090000000,2.207,8.741,969000000,1.45,1.49,72.5,4890000,1.7,1.3,3640000,0
11,4/26/2008 4:49,1209165563,a,31.53,-13.96998636,1379.930054,21.99570765,-35.965694,0.67,20.59,2.07,3.65,10.99,11.3,5.33,17.8,14.362,11510000000,12080000000,N/A,1,2.18,14.748,2.18,2970000000,14.748,608000000,1.53,20,8.8,1560000000,4.265,2130000000,1.896,8.622,880000000,1.46,4.68,68.3,5420000,2.1,1.5,N/A,0
12,12/6/2008 19:21,1228571493,a,17.26,-52.9058663,870.73999,-23.02034371,-29.88552259,0.83,9.24,1.06,2.4,12,13.77,6.63,23.93,15.906,6040000000,6740000000,N/A,0.64,1.17,6.764,1.17,2970000000,6.764,693000000,1.87,28.3,2.4,1430000000,4.083,2130000000,2.421,7.311,756000000,1.33,1.59,75.9,4340000,1.6,1.2,4420000,0
13,8/2/2009 5:46,1249172184,a,23.22,-36.64392906,986.75,-12.76422731,-23.87970175,N/A,22.83,1.53,3.29,7.01,11.21,5.1,13.02,14.659,8710000000,8710000000,N/A,3.04,1.68,11.422,1.68,3200000000,11.422,363000000,1.02,N/A,25.1,1410000000,4.112,2150000000,2.623,7.045,581000000,1.25,0.26,78.6,9890000,3.2,2.9,8440000,0
14,8/2/2011 6:45,1312247737,a,40.79,11.29604366,1254.050049,10.86701294,0.429030717,54.36,16.18,2.38,3.71,14.46,14.8,6.94,27,17.77,13850000000,13850000000,12.44,0.63,2.25,11.89,2.25,2930000000,11.89,890000000,2.52,85.2,31.9,2980000000,8.55,2150000000,3.2,11.36,13850000000,1.55,0.25,82.1,4360000,1.2,1.4,5420000,1
15,11/8/2011 5:04,1320708856,a,37.74,2.974079127,1275.920044,12.80047725,-9.826398127,51.62,13.17,1.98,3.06,15.71,16.01,7.25,28.96,18.67,12170000000,12170000000,12.06,0.66,1.88,9.42,1.88,2930000000,9.42,1020000000,2.87,61,22.2,3100000000,8.93,2170000000,3.47,12.07,12170000000,1.61,0.25,82.1,4500000,0.8,N/A,4140000,0
16,5/14/2013 0:28,1368471538,a,43.04,17.43519782,1650.339966,45.90188207,-28.46668426,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000,15060000000,13.08,2.07,2.18,10.75,2.18,3600000000,10.75,1100000000,3.13,22.2,2.8,2450000000,7.06,2360000000,2.55,15.41,1320000000,1.66,0.23,83.2,4370000,1.2,1.3,3080000,0
17,9/6/2013 6:09,1378427992,a,47.68,30.09549795,1655.170044,46.32889559,-16.23339764,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.8,15860000000,15860000000,15.09,2.16,2.32,11.93,2.32,3600000000,11.93,938000000,2.69,30.9,4.1,2330000000,7.04,2700000000,2.96,14.46,1260000000,1.81,0.23,83.5,2780000,1.2,0.8,3300000,0
18,4/13/2004 4:20,1081810210,aa,34.26,0,1129.439941,0,0,0.595,24.92,1.33,2.41,6.4,8.44,4.52,10.66,25.638,29780000000,36340000000,12.98,1.26,1.65,10.8,1.65,4020000000,10.8,1190000000,1.375,53.7,11.4,459000000,0.53,7310000000,1.374,14.078,2530000000,1.808,1,79.36,12540000,2.497,1.46,12700000,0
19,9/9/2004 16:15,1094726745,aa,32.89,-3.998832458,1118.380005,-0.979240737,-3.019591721,0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,28610000000,35240000000,12.75,1.43,1.56,9.7,1.56,4020000000,9.7,1370000000,1.575,53.7,11.4,466000000,0.54,6880000000,1.372,14.049,1780000000,1.676,1,76.64,7780000,1.935,0.9,7930000,0
20,11/24/2004 10:37,1101272840,aa,33.58,-1.98482195,1181.76001,4.632390542,-6.617212491,0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,29230000000,35370000000,13.49,1.47,1.52,9.53,1.52,4020000000,9.53,1390000000,1.588,53.7,11.4,561000000,0.64,6650000000,1.293,14.36,2140000000,1.736,1.04,77.19,9910000,2.209,1.15,10140000,0
21,12/5/2004 0:36,1102187202,aa,32.86,-4.086398132,1190.329956,5.391168914,-9.477567046,0.53,20.69,1.25,2.33,7.01,9.57,5.13,11.58,26.536,28600000000,34750000000,13.2,1.5,1.49,9.36,1.49,4020000000,9.36,1390000000,1.588,53.7,11.4,561000000,0.64,6650000000,1.293,14.36,2140000000,1.736,1.04,77.11,9910000,2.209,1.15,10140000,0
22,1/13/2005 7:18,1105580912,aa,29.43,-14.09807356,1177.449951,4.250780255,-18.34885381,0.457,18.43,1.1,1.95,7.02,9.39,5.12,11.17,26.757,25630000000,31510000000,11.96,1.12,1.34,8.57,1.34,4020000000,8.57,1400000000,1.597,53.7,11.4,457000000,0.52,6080000000,1.322,15.207,2140000000,1.611,1.04,77.16,12810000,2.918,1.49,9910000,0
23,2/7/2005 3:48,1107728317,aa,29.37,-14.2732049,1201.719971,6.399634666,-20.67283957,0.457,18.39,1.08,1.92,7.02,9.39,5.12,11.17,26.757,25580000000,31260000000,11.89,1.39,1.33,8.5,1.33,4020000000,8.5,1400000000,1.6,53.7,11.4,457000000,0.52,6080000000,1.322,15.207,2140000000,1.611,1.04,75.67,11840000,1.892,1.37,12810000,0
24,5/22/2005 8:48,1116731903,aa,27.45,-19.87740806,1191.079956,5.457573507,-25.33498156,0.543,N/A,N/A,1.81,N/A,N/A,0,0,N/A,23940000000,51030000000,11.83,1.38,N/A,N/A,N/A,4860000000,N/A,N/A,N/A,39.7,9.2,497000000,0.57,7280000000,1.131,15.305,1630000000,1.705,0.99,78.45,15160000,2.902,1.76,11970000,0
25,6/20/2006 4:32,1150758141,aa,29.1,-15.06129597,1240.119995,9.799551971,-24.86084794,0.526,16.15,0.96,1.89,5.82,9.51,4.73,11.56,31.183,25320000000,32240000000,N/A,0.8,1.19,8.36,1.19,4940000000,8.36,1580000000,1.8,133.8,16.4,459000000,0.528,7330000000,1.183,15.945,1700000000,2.3,0.26,78.7,15800000,1.8,1.8,12880000,0
26,1/25/2007 19:09,1169732377,aa,31.46,-8.172796264,1423.900024,26.07133609,-34.24413236,0.494,12.25,0.91,1.89,7.4,13.71,7.34,15.43,34.966,27300000000,34380000000,N/A,0.96,1.13,6.313,1.13,4940000000,6.313,2160000000,2.57,60.3,17.6,506000000,0.583,7240000000,1.045,16.798,2570000000,1.5,0.26,80.4,17750000,2.7,2.1,16520000,0
27,2/23/2007 9:03,1172201622,aa,34.75,1.430239346,1451.189941,28.48757055,-27.0573312,0.494,13.54,0.99,2.07,7.4,13.6,7.54,15.43,34.959,30150000000,37000000000,N/A,1.05,1.22,6.662,1.22,4940000000,6.662,2160000000,2.57,60.3,20,506000000,0.582,7240000000,1.258,16.798,2570000000,1.62,0.06,80.3,14360000,2.4,1.7,17750000,0
28,5/16/2007 21:12,1179330167,aa,39.04,13.95213076,1514.140015,34.06113597,-20.1090052,0.494,15.21,1.1,2.22,7.4,13.6,7.54,15.43,34.959,33950000000,36860000000,N/A,1.12,1.21,6.637,1.21,7060000000,6.637,2160000000,2.57,60.3,20,506000000,0.582,7240000000,1.258,17.684,2570000000,1.36,0.06,80.3,13620000,1.2,1.6,12620000,0
29,6/22/2007 6:39,1182474552,aa,40.34,17.74664332,1502.560059,33.03585294,-15.28920963,0.503,15.34,1.12,2.28,7.38,13.66,7.55,15.13,35.896,35080000000,42470000000,N/A,1.28,1.36,7.472,1.36,7060000000,7.472,2220000000,2.63,8.9,11.2,420000000,0.483,7760000000,1.338,17.684,3310000000,1.41,0.06,80.9,16800000,1.2,1.9,15370000,0
